monomer_ID,smiles,density,self-diffusion,Cp,bulk_modulus,linear_expansion,refractive_index,thermal_conductivity,polymer_class
PI542,*Oc1cccc(S(=O)(=O)c2ccc(*)cc2)c1,1.288531372,6.12e-13,2399.122479,3758774452.0,6.63e-05,1.605753761,0.169806655,7
PI543,*Oc1ccc(S(=O)(=O)c2ccc(Oc3ccc(C(c4ccc(*)cc4)(C(F)(F)F)C(F)(F)F)cc3)cc2)cc1,1.323061114,2.05e-13,2293.553644,3214785948.0,7.06e-05,1.554668455,0.162123893,7
PI544,*Oc1ccc(S(=O)(=O)c2ccc(Oc3c(C)cc(C(C)(C)c4cc(C)c(*)c(C)c4)cc3C)cc2)cc1,1.070009763,5.48e-13,2957.604914,2577593403.0,0.000109678,1.555279367,0.207453817,7
PI545,*Oc1ccc(S(=O)(=O)c2ccc(Oc3ccc(-c4ccc(*)cc4)cc3)cc2)cc1,1.222343047,6.61e-13,2564.448152,3588163806.0,7.88e-05,1.661888766,0.234731231,7
PI546,*Oc1ccc(Oc2ccc(Oc3ccc(S(=O)(=O)c4ccc(*)cc4)cc3)cc2)cc1,1.248920055,1.23e-12,2665.666947,3161314728.0,0.000112749,1.637180433,0.229938844,7
PI547,*c1ccc(-c2nc3cc4nc(*)oc4cc3o2)cc1,1.247908509,3.47e-13,2422.87838,2703173669.0,4.74e-05,1.694797265,-9999.0,7
PI548,*CCOCC(=O)O*,1.268466225,7.1e-13,2964.249851,4609262149.0,0.000104304,1.479198657,0.238989416,7
PI549,*CCOCCOC(=O)c1ccc(-c2ccc(C(=O)O*)cc2)cc1,1.215132769,4.12e-13,2890.489966,4168748649.0,9.05e-05,1.624495672,0.253846443,7
PI550,*Oc1ccc(S(=O)(=O)c2ccc(Oc3ccc(C(=O)c4cccc(C(=O)c5ccc(*)cc5)c4)cc3)cc2)cc1,1.236059497,5.86e-13,2622.65281,3498355359.0,9.25e-05,1.66627398,0.213575422,7
PI551,*CCCCCCOC(=O)Nc1ccc(C)c(NC(=O)OCCCCCCOc2ccc(-c3ccc(O*)cc3)cc2)c1,1.118434945,5.18e-13,3214.481728,3878722335.0,8.99e-05,1.555708936,0.272492356,7
PI552,*CS*,1.336947333,4.05e-12,2084.607253,3476335284.0,0.00012777,1.634752281,0.14812712,8
PI553,*CCS*,1.177956772,9.01e-12,2850.40855,2837736480.0,0.000190464,1.591930354,0.22117529,8
PI554,*CCCSS*,1.238118081,3.14e-12,2505.332066,2734301393.0,0.000188171,1.589890127,0.150655425,8
PI555,*Sc1ccc(cc1)*,1.261029827,9.97e-13,2426.803593,3552003260.0,0.000107458,1.694528789,0.165856187,8
PI556,*Oc1ccc(Sc2ccc(OC(*)=O)cc2)cc1,1.293120554,8.62e-13,2472.017598,3646064449.0,8.91e-05,1.657071211,0.215699363,8
PI557,*OC(=O)CCC(=O)OCC*,1.246335829,4.81e-13,2836.743438,4986922017.0,0.000106403,1.452628413,0.237840575,9
PI558,*CCCCOC(=O)CCC(=O)O*,1.154960967,7.42e-13,3263.195771,4019313681.0,0.00012958,1.454791233,0.239020305,9
PI560,*OC(=O)CCCCCCCCC(=O)OCC*,1.057392621,1.25e-12,3548.270364,3588367146.0,0.000119287,1.461469193,0.257154282,9
PI561,*CCCCCCOC(=O)CCCCCCCCC(=O)O*,1.007846324,1.42e-12,3731.205322,3668954902.0,0.000116831,1.459521721,0.281178878,9
PI562,*OC(=O)c1ccc(cc1)C(=O)OCC*,1.261154371,5.63e-13,2740.439456,4133192529.0,9.44e-05,1.569210438,0.235166491,9
PI563,*OC(=O)c1cc(ccc1)C(=O)OCC*,1.261721783,4.34e-13,2749.451436,4181702589.0,8.83e-05,1.560906911,0.200585896,9
PI564,*OC(=O)c1ccc(cc1)C(=O)OCCCC*,1.189183518,6.77e-13,3129.938861,3879953975.0,0.000111629,1.548964193,0.25637618,9
PI565,*CCCCCCOC(=O)c1ccc(C(=O)O*)cc1,1.133047244,8.82e-13,3235.411529,3238301005.0,0.000160044,1.53242869,0.254809517,9
PI566,*Oc1ccc(cc1)C(c1ccc(cc1)OC(=O)c1ccc(cc1)C(=O)*)(C)C,1.155215268,3.79e-13,2812.201091,3507051060.0,8.1e-05,1.616100982,0.27751155,9
PI567,*Oc1ccc(cc1)C(c1ccc(cc1)OC(=O)c1cc(ccc1)C(=O)*)(C)C,1.151161684,5.8e-13,2838.831248,3466136858.0,7.12e-05,1.605787366,0.244415588,9
PI568,*OC(=O)c1cc2c(cc1)ccc(c2)C(=O)OCC*,1.252920519,3.87e-13,2745.287872,4168146088.0,9.21e-05,1.647560349,0.22543537,9
PI569,*OC(=O)c1cc2c(cc1)cc(cc2)C(=O)OCC*,1.247957049,4.44e-13,2802.872778,3783144764.0,9.51e-05,1.642146314,0.225246348,9
PI570,*CCCCOC(=O)CCCCC(=O)O*,1.098279802,1.1e-12,3491.187602,3890664844.0,0.00013626,1.455359731,0.259346678,9
PI571,*Oc1ccc(C2(c3ccc(OC(=O)c4cccc(C(*)=O)c4)cc3)c3ccccc3-c3ccccc32)cc1,1.142864316,2.2e-13,2734.51232,3043238205.0,7.79e-05,1.631795712,0.216708127,9
